cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.1	8	800	50	50194000
-1	8	800	25	50602000
-0.5	8	800	25	50602000
-0.3	8	800	25	50602000
-0.1	8	800	25	50602000
-1	8	800	10	50394000
-0.5	8	800	10	50394000
-0.3	8	800	10	50394000
-0.1	8	800	10	50394000
-1	8	800	5	50094000
-0.5	8	800	5	50094000
-0.3	8	800	5	50094000
-0.1	8	800	5	50094000
-1	8	600	500	51936000
-0.5	8	600	500	51936000
-0.3	8	600	500	51936000
-0.1	8	600	500	51936000
-1	8	600	400	51544000
-0.5	8	600	400	51544000
-0.3	8	600	400	51544000
-0.1	8	600	400	51544000
-1	8	600	300	50230000
-0.5	8	600	300	50230000
-0.3	8	600	300	50230000
-0.1	8	600	300	50230000
-1	8	600	200	48752000
-0.5	8	600	200	48752000
-0.3	8	600	200	48752000
-0.1	8	600	200	48752000
-1	8	600	50	49684000
-0.5	8	600	50	49684000
-0.3	8	600	50	49684000
-0.1	8	600	50	49684000
-1	8	600	25	49878000
-0.5	8	600	25	49878000
-0.3	8	600	25	49878000
-0.1	8	600	25	49878000
-1	8	600	10	49842000
-0.5	8	600	10	49842000
-0.3	8	600	10	49842000
-0.1	8	600	10	49842000
-1	8	600	5	49790000
-0.5	8	600	5	49790000
-0.3	8	600	5	49790000
-0.1	8	600	5	49790000
-1	8	400	500	51936000
-0.5	8	400	500	51936000
-0.3	8	400	500	51936000
-0.1	8	400	500	51936000
-1	8	400	400	51544000
-0.5	8	400	400	51544000
-0.3	8	400	400	51544000
-0.1	8	400	400	51544000
-1	8	400	300	50230000
-0.5	8	400	300	50230000
-0.3	8	400	300	50230000
-0.1	8	400	300	50230000
-1	8	400	200	48404000
-0.5	8	400	200	48404000
-0.3	8	400	200	48404000
-0.1	8	400	200	48404000
-1	8	400	50	49302000
-0.5	8	400	50	49302000
-0.3	8	400	50	49302000
-0.1	8	400	50	49302000
-1	8	400	25	50430000
-0.5	8	400	25	50430000
-0.3	8	400	25	50430000
-0.1	8	400	25	50430000
-1	8	400	10	50016000
-0.5	8	400	10	50016000
-0.3	8	400	10	50016000
-0.1	8	400	10	50016000
-1	8	400	5	49812000
-0.5	8	400	5	49812000
-0.3	8	400	5	49812000
-0.1	8	400	5	49812000
-1	8	200	500	51936000
-0.5	8	200	500	51936000
-0.3	8	200	500	51936000
-0.1	8	200	500	51936000
-1	8	200	400	51544000
-0.5	8	200	400	51544000
-0.3	8	200	400	51544000
-0.1	8	200	400	51544000
-1	8	200	300	50230000
-0.5	8	200	300	50230000
-0.3	8	200	300	50230000
-0.1	8	200	300	50230000
-1	8	200	200	48404000
-0.5	8	200	200	48404000
-0.3	8	200	200	48404000
-0.1	8	200	200	48404000
-1	8	200	50	47328000
-0.5	8	200	50	47328000
-0.3	8	200	50	47328000
-0.1	8	200	50	47328000
-1	8	200	25	48672000
-0.5	8	200	25	48672000
-0.3	8	200	25	48672000
-0.1	8	200	25	48672000
-1	8	200	10	48892000
-0.5	8	200	10	48892000
-0.3	8	200	10	48892000
-0.1	8	200	10	48892000
-1	8	200	5	49806000
-0.5	8	200	5	49806000
